state,x,y
Madhya Pradesh,-56,22
Uttar Pradesh,-24,69
Rajasthan,-109,68
Gujrat,-133,20
Maharastra,-96,-30
Karnataka,-92,-95
Kerala,-81,-156
Tamil Nadu,-60,-145
Andhra Pradesh,-52,-88
Telangana,-50,-48
Odisha,20,-15
Chhattisgarh,-8,-3
Jharkhand,28,23
West Bengal,61,20
Bihar,35,53
Sikkim,70,81
Arunachal Pradesh,136,92
Assam,120,65
Meghalaya,101,53
Nagaland,144,62
Manipur,136,44
Mizoram,124,28
Tripura,110,26
Ladakh,-57,172
Jammu and Kashmir,-97,169
Himachal Pradesh,-58,134
Punjab,-83,124
Chandigarh,-72,121
Delhi,-71,103
Haryana,-69,113
Uttarakhand,-43,116
Daman,-120,-8
Lakshadweep,-137,144
Andaman and Nicobar,133,-143
